,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
Total de viajeros,267984.5,190522.84999999998,8.575964629713702,10.0,0.4909544855832495,-129294457582009.61,1.0,30.0,0.013774104683195593,3.0,0.09999644477871238,9.0,0.05555555555555555,0.21904761904761916,0.32380952380952394,8403707142.806325,6.0,1.8467971923124176,0.7619047619047619,0.8571428571428571,0.14726215563702155,63185.884641902674
País: El Salvador,60564.899999999994,50470.75,13.87360828053666,3.0,0.42152392386394205,-3329469695664.426,0.9808612440191388,50.0,0.020833333333333336,3.0,0.11110161852581589,2.0,0.038461538461538464,0.7261904761904764,0.3047619047619049,1762725579.5243933,5.0,1.7811651074029462,0.8571428571428571,0.8571428571428571,0.07363107781851078,24044.966443656587
País: Guatemala,62129.100000000006,10354.85,12.804062506413027,11.0,0.6527759991469056,-35943961621975.16,0.8038277511961722,62.0,0.04166666666666667,35.0,0.07142394217273394,10.0,0.02,0.17142857142857154,0.7476190476190477,2374207893.6923113,6.0,1.63743770859976,0.7857142857142857,0.8571428571428571,0.07363107781851078,26005.08825290161
País: Estados Unidos de América,23796.0,27762.0,9.223114893798328,2.0,0.2401031818581899,45344639155.167465,0.9808612440191388,12.0,0.020833333333333336,5.0,0.11108590940272796,1.0,0.038461538461538464,0.8285714285714287,0.3190476190476192,174222653.69771826,5.0,1.973228305888631,0.16666666666666666,0.14285714285714285,0.09817477042468103,11468.805811129509
Vía: Aérea,79476.0,87374.7,6.4374085744345315,10.0,0.20592866768286128,-3726286195327.349,1.0,34.0,0.010204081632653059,11.0,0.08332345247518781,9.0,0.07142857142857142,0.19047619047619058,0.32380952380952394,580632663.5850257,5.0,1.9866572963341218,0.8571428571428571,0.8571428571428571,0.1718058482431918,20598.304495603283
Vía: Terrestre,111306.0,93707.5,8.994040649595911,3.0,0.4519317525239052,-37057175914284.71,1.0,30.0,0.005509641873278237,3.0,0.09999463973063617,2.0,0.05555555555555555,0.25714285714285723,0.30952380952380965,4691012155.548791,6.0,1.768209299399012,0.7619047619047619,0.8333333333333334,0.1227184630308513,45353.89434861145
Vía: Marítima,2950.5,1475.25,2.770873625047188,6.0,0.12470080461243864,-24842453318.287083,0.8995215311004785,9.0,0.008328375966686497,11.0,0.12495586754375285,4.0,0.2,0.03333333333333342,0.4238095238095239,33610984.39911388,5.0,1.8431301837538347,0.8571428571428571,0.8571428571428571,0.5154175447295755,5830.113098522097
